Year,State,District,In-migrants
1977 - 1981,Madhya Pradesh,Sagar,63383
1977 - 1981,Madhya Pradesh,Satna,52878
1977 - 1981,Madhya Pradesh,Sehore,26970
1977 - 1981,Madhya Pradesh,Seoni,37534
1977 - 1981,Madhya Pradesh,Shahdol,78228
1977 - 1981,Madhya Pradesh,Shajapur,42901
1977 - 1981,Madhya Pradesh,Shivpuri,37719
1977 - 1981,Madhya Pradesh,Sidhi,55878
1977 - 1981,Madhya Pradesh,Tikamgarh,36231
1977 - 1981,Madhya Pradesh,Ujjain,53167
1977 - 1981,Madhya Pradesh,Vidisha,38267
1977 - 1981,Manipur,Bishnupur,1581
1977 - 1981,Manipur,Chandel,1973
1977 - 1981,Manipur,Churachandpur,2321
1977 - 1981,Manipur,Imphal West,6114
1977 - 1981,Manipur,Senapati,1290
1977 - 1981,Manipur,Tamenglong,379
1977 - 1981,Manipur,Thoubal,890
1977 - 1981,Manipur,Ukhrul,351
1977 - 1981,Meghalaya,East Garo Hills,2971
1977 - 1981,Meghalaya,East Khasi Hills,10858
1977 - 1981,Meghalaya,West Garo Hills,11056
1977 - 1981,Meghalaya,West Jaintia Hills,4116
1977 - 1981,Meghalaya,West Khasi Hills,2782
1977 - 1981,Mizoram,Aizawl,9772
1977 - 1981,Mizoram,Lawngtlai,2562
1977 - 1981,Mizoram,Lunglei,8009
1977 - 1981,Nagaland,Kohima,11190
1977 - 1981,Nagaland,Mokokchung,1604
1977 - 1981,Nagaland,Mon,692
1977 - 1981,Nagaland,Phek,605
1977 - 1981,Nagaland,Tuensang,1411
1977 - 1981,Nagaland,Wokha,1183
1977 - 1981,Nagaland,Zunheboto,422
1977 - 1981,Puducherry,Karaikal,6428
1977 - 1981,Puducherry,Mahe,1440
1977 - 1981,Puducherry,Puducherry,23276
1977 - 1981,Puducherry,Yanam,1095
1977 - 1981,Uttar Pradesh,Agra,69494
1977 - 1981,Uttar Pradesh,Aligarh,88748
1977 - 1981,Uttar Pradesh,Allahabad,138337
1977 - 1981,Uttar Pradesh,Badaun,76000
1977 - 1981,Uttar Pradesh,Banda,53253
1977 - 1981,Uttar Pradesh,Barabanki,46972
1977 - 1981,Uttar Pradesh,Bareilly,74967
1977 - 1981,Uttar Pradesh,Bijnor,72158
1977 - 1981,Uttar Pradesh,Bulandshahr,50621
1977 - 1981,Uttar Pradesh,Etah,75966
1977 - 1981,Uttar Pradesh,Etawah,42313
1977 - 1981,Uttar Pradesh,Faizabad,75297
1977 - 1981,Uttar Pradesh,Farrukhabad,61647
1977 - 1981,Uttar Pradesh,Fatehpur,63965
1977 - 1981,Uttar Pradesh,Firozabad,49400
1977 - 1981,Uttar Pradesh,Ghaziabad,53924
1977 - 1981,Uttar Pradesh,Hamirpur,37253
1977 - 1981,Uttar Pradesh,Hardoi,96032
1977 - 1981,Uttar Pradesh,Jalaun,33458
1977 - 1981,Uttar Pradesh,Jhansi,51311
1977 - 1981,Uttar Pradesh,Kanpur Rural,49523
1977 - 1981,Uttar Pradesh,Kanpur Urban,64062
1977 - 1981,Uttar Pradesh,Kheri,52890
1977 - 1981,Uttar Pradesh,Lalitpur,20488
1977 - 1981,Uttar Pradesh,Lucknow,95393
1977 - 1981,Uttar Pradesh,Mainpuri,43795
1977 - 1981,Uttar Pradesh,Mathura,66450
1977 - 1981,Uttar Pradesh,Mau,38042
1977 - 1981,Uttar Pradesh,Meerut,77837
1977 - 1981,Uttar Pradesh,Moradabad,67369
1977 - 1981,Uttar Pradesh,Muzaffarnagar,97105
1977 - 1981,Uttar Pradesh,Pilibhit,43130
1977 - 1981,Uttar Pradesh,Pratapgarh,74803
1977 - 1981,Uttar Pradesh,Rae Bareli,75238
1977 - 1981,Uttar Pradesh,Rampur,34475
1977 - 1981,Uttar Pradesh,Saharanpur,63362
1977 - 1981,Uttar Pradesh,Shahjahanpur,48292
1977 - 1981,Uttar Pradesh,Sitapur,75180
1977 - 1981,Uttar Pradesh,Sultanpur,76057
1977 - 1981,Uttar Pradesh,Unnao,75203
1977 - 1981,Uttarakhand,Chamoli,12804
1977 - 1981,Uttarakhand,Dehradun,52379
1977 - 1981,Uttarakhand,Haridwar,43061
1977 - 1981,Uttarakhand,Nainital,78290
1977 - 1981,Uttarakhand,Pauri Garhwal,15252
1977 - 1981,Uttarakhand,Uttarkashi,6932
1982 - 1986,Andaman And Nicobar Islands,Andamans,14995
1982 - 1986,Andaman And Nicobar Islands,Nicobar,2181
1982 - 1986,Andhra Pradesh,Anantapur,153749
1982 - 1986,Andhra Pradesh,Chittoor,149252
1982 - 1986,Andhra Pradesh,East Godavari,253382
1982 - 1986,Andhra Pradesh,Guntur,204839
1982 - 1986,Andhra Pradesh,Kadapa,106660
1982 - 1986,Andhra Pradesh,Krishna,211623
1982 - 1986,Andhra Pradesh,Kurnool,133150
1982 - 1986,Andhra Pradesh,Nellore,126486
1982 - 1986,Andhra Pradesh,Prakasam,110203
1982 - 1986,Andhra Pradesh,Srikakulam,93641
1982 - 1986,Andhra Pradesh,Visakhapatnam,200366
1982 - 1986,Andhra Pradesh,Vizianagaram,84033
1982 - 1986,Andhra Pradesh,West Godavari,212549
1982 - 1986,Arunachal Pradesh,Changlang,7378
1982 - 1986,Arunachal Pradesh,Dibang Valley,5815
1982 - 1986,Arunachal Pradesh,East Kameng,1364
1982 - 1986,Arunachal Pradesh,East Siang,4795
1982 - 1986,Arunachal Pradesh,Lohit,15373
1982 - 1986,Arunachal Pradesh,Lower Subansiri,13876
1982 - 1986,Arunachal Pradesh,Tawang,1350
1982 - 1986,Arunachal Pradesh,Tirap,4502
1982 - 1986,Arunachal Pradesh,Upper Subansiri,2548
1982 - 1986,Arunachal Pradesh,West Kameng,3863
1982 - 1986,Arunachal Pradesh,West Siang,6303
1982 - 1986,Chandigarh,Chandigarh,81936
1982 - 1986,Dadra And Nagar Haveli,Dadra And Nagar Haveli,7499
1982 - 1986,Daman And Diu,Daman,5027
1982 - 1986,Daman And Diu,Diu,1048
1982 - 1986,Goa,North Goa,50408
1982 - 1986,Goa,South Goa,42613
1982 - 1986,Haryana,Ambala,72558
1982 - 1986,Haryana,Bhiwani,42075
1982 - 1986,Haryana,Faridabad,107891
1982 - 1986,Haryana,Gurgaon,53114
1982 - 1986,Haryana,Hisar,90570
1982 - 1986,Haryana,Jind,42579
1982 - 1986,Haryana,Kaithal,34299
1982 - 1986,Haryana,Karnal,41872
1982 - 1986,Haryana,Kurukshetra,30705
1982 - 1986,Haryana,Mahendragarh,26018
1982 - 1986,Haryana,Panipat,44346
1982 - 1986,Haryana,Rewari,25393
1982 - 1986,Haryana,Rohtak,73144
1982 - 1986,Haryana,Sirsa,50501
1982 - 1986,Haryana,Sonipat,38070
1982 - 1986,Haryana,Yamunanagar,39032
1982 - 1986,Himachal Pradesh,Bilaspur,14317
1982 - 1986,Himachal Pradesh,Chamba,19651
1982 - 1986,Himachal Pradesh,Hamirpur,20565
1982 - 1986,Himachal Pradesh,Kangra,61317
1982 - 1986,Himachal Pradesh,Kinnaur,3788
1982 - 1986,Himachal Pradesh,Kullu,12148
1982 - 1986,Himachal Pradesh,Lahaul And Spiti,1523
1982 - 1986,Himachal Pradesh,Mandi,35454
1982 - 1986,Himachal Pradesh,Shimla,39135
1982 - 1986,Himachal Pradesh,Sirmaur,19933
1982 - 1986,Himachal Pradesh,Solan,26401
1982 - 1986,Himachal Pradesh,Una,20761
1982 - 1986,Madhya Pradesh,Balaghat,59302
1982 - 1986,Madhya Pradesh,Betul,48850
1982 - 1986,Madhya Pradesh,Bhind,53240
1982 - 1986,Madhya Pradesh,Bhopal,93023
1982 - 1986,Madhya Pradesh,Chhatarpur,41158
1982 - 1986,Madhya Pradesh,Chhindwara,72714
1982 - 1986,Madhya Pradesh,Damoh,47266
1982 - 1986,Madhya Pradesh,Datia,16909
1982 - 1986,Madhya Pradesh,Dewas,61815
1982 - 1986,Madhya Pradesh,Dhar,67749
1982 - 1986,Madhya Pradesh,Guna,57882
1982 - 1986,Madhya Pradesh,Gwalior,60173
1982 - 1986,Madhya Pradesh,Hoshangabad,72580
1982 - 1986,Madhya Pradesh,Indore,95750
1982 - 1986,Madhya Pradesh,Jabalpur,129429
1982 - 1986,Madhya Pradesh,Jhabua,44592
1982 - 1986,Madhya Pradesh,Khandwa,78934
1982 - 1986,Madhya Pradesh,Khargone,100017
1982 - 1986,Madhya Pradesh,Mandla,54993
1982 - 1986,Madhya Pradesh,Mandsaur,75370
1982 - 1986,Madhya Pradesh,Morena,76360
1982 - 1986,Madhya Pradesh,Narsinghpur,38004
1982 - 1986,Madhya Pradesh,Panna,30366
1982 - 1986,Madhya Pradesh,Raisen,46413
1982 - 1986,Madhya Pradesh,Rajgarh,38744
1982 - 1986,Madhya Pradesh,Ratlam,47921
1982 - 1986,Madhya Pradesh,Rewa,57485
1982 - 1986,Madhya Pradesh,Sagar,82132
1982 - 1986,Madhya Pradesh,Satna,59810
