Year,State,District,AvgSyllabicCount,In-migrants
1977 - 1981,Haryana,Mahendragarh,2.1894142294201218,25949
1977 - 1981,Haryana,Panipat,2.1826332939352526,35243
1977 - 1981,Haryana,Rewari,2.1746839686214643,23352
1977 - 1981,Haryana,Rohtak,2.3137081955034935,64113
1977 - 1981,Haryana,Sirsa,2.4336490293804536,43851
1977 - 1981,Haryana,Sonipat,2.1861426940238102,31373
1977 - 1981,Haryana,Yamunanagar,2.2868711693376804,35750
1977 - 1981,Himachal Pradesh,Bilaspur,1.9840325693844243,11938
1977 - 1981,Himachal Pradesh,Chamba,1.933939030229763,12896
1977 - 1981,Himachal Pradesh,Hamirpur,2.0317384983653297,17175
1977 - 1981,Himachal Pradesh,Kangra,2.356189140201188,60974
1977 - 1981,Himachal Pradesh,Kinnaur,1.9639634129129533,3806
1977 - 1981,Himachal Pradesh,Kullu,1.8182840968795824,9384
1977 - 1981,Himachal Pradesh,Lahaul And Spiti,2.1065144038908192,885
1977 - 1981,Himachal Pradesh,Mandi,1.9069224377835965,28594
1977 - 1981,Himachal Pradesh,Shimla,1.967989593402488,28108
1977 - 1981,Himachal Pradesh,Sirmaur,2.0443625420307643,15384
1977 - 1981,Himachal Pradesh,Solan,2.030590741605315,16996
1977 - 1981,Himachal Pradesh,Una,2.187646885895973,16921
1977 - 1981,Madhya Pradesh,Balaghat,2.338504437558736,49132
1977 - 1981,Madhya Pradesh,Betul,2.252375777196877,39323
1977 - 1981,Madhya Pradesh,Bhind,2.298978958714487,43131
1977 - 1981,Madhya Pradesh,Bhopal,2.337402948219388,72677
1977 - 1981,Madhya Pradesh,Chhatarpur,2.20266966542885,37808
1977 - 1981,Madhya Pradesh,Chhindwara,2.428978502108533,55930
1977 - 1981,Madhya Pradesh,Damoh,2.3490423508927387,36670
1977 - 1981,Madhya Pradesh,Datia,2.1547864847587754,14688
1977 - 1981,Madhya Pradesh,Dewas,2.2729449048206094,49445
1977 - 1981,Madhya Pradesh,Dhar,2.4080268059303247,50278
1977 - 1981,Madhya Pradesh,Guna,2.2162908107674504,46453
1977 - 1981,Madhya Pradesh,Gwalior,2.248203948402672,49929
1977 - 1981,Madhya Pradesh,Hoshangabad,2.306485476305335,50100
1977 - 1981,Madhya Pradesh,Indore,2.356645151132323,72961
1977 - 1981,Madhya Pradesh,Jabalpur,2.6076498646020188,108028
1977 - 1981,Madhya Pradesh,Jhabua,1.8614862368067784,34269
1977 - 1981,Madhya Pradesh,Khandwa,2.4361533868798073,59613
1977 - 1981,Madhya Pradesh,Khargone,2.5865574608809676,74539
1977 - 1981,Madhya Pradesh,Mandla,2.101964323347004,42002
1977 - 1981,Madhya Pradesh,Mandsaur,2.4900654357154197,64430
1977 - 1981,Madhya Pradesh,Morena,2.340802579843737,62557
1977 - 1981,Madhya Pradesh,Narsinghpur,2.1709053226547863,31066
1977 - 1981,Madhya Pradesh,Panna,2.1919475409603275,26374
1977 - 1981,Madhya Pradesh,Raisen,2.287882226557827,35823
1977 - 1981,Madhya Pradesh,Rajgarh,2.2976842669503164,36819
1977 - 1981,Madhya Pradesh,Ratlam,2.276525631342225,42296
1977 - 1981,Madhya Pradesh,Rewa,2.3906152414555817,53111
1977 - 1981,Madhya Pradesh,Sagar,2.3435302789524584,63383
1977 - 1981,Madhya Pradesh,Satna,2.4925132209797742,52878
1977 - 1981,Madhya Pradesh,Sehore,2.2450825118118494,26970
1977 - 1981,Madhya Pradesh,Seoni,2.2420885934640915,37534
1977 - 1981,Madhya Pradesh,Shahdol,2.5130090688883455,78228
1977 - 1981,Madhya Pradesh,Shajapur,2.3855497930735057,42901
1977 - 1981,Madhya Pradesh,Shivpuri,2.275885822472824,37719
1977 - 1981,Madhya Pradesh,Sidhi,2.507353478387569,55878
1977 - 1981,Madhya Pradesh,Tikamgarh,2.2817789879978205,36231
1977 - 1981,Madhya Pradesh,Ujjain,2.4241080533370547,53167
1977 - 1981,Madhya Pradesh,Vidisha,2.2252902327858184,38267
1977 - 1981,Manipur,Bishnupur,2.5482203300000004,1581
1977 - 1981,Manipur,Chandel,2.4832115588000003,1973
1977 - 1981,Manipur,Churachandpur,2.6955276412000004,2321
1977 - 1981,Manipur,Imphal West,2.5646263306,6114
1977 - 1981,Manipur,Senapati,2.3334157398,1290
1977 - 1981,Manipur,Tamenglong,2.9893375662,379
1977 - 1981,Manipur,Thoubal,2.5644675094,890
1977 - 1981,Manipur,Ukhrul,2.4953000424000003,351
1977 - 1981,Meghalaya,East Garo Hills,2.388508443317523,2971
1977 - 1981,Meghalaya,East Khasi Hills,2.50919084807037,10858
1977 - 1981,Meghalaya,West Garo Hills,2.4335087154062145,11056
1977 - 1981,Meghalaya,West Jaintia Hills,2.1797118493534056,4116
1977 - 1981,Meghalaya,West Khasi Hills,2.5880932184820784,2782
1977 - 1981,Mizoram,Aizawl,3.5826093986000003,9772
1977 - 1981,Mizoram,Lawngtlai,2.9266718631999997,2562
1977 - 1981,Mizoram,Lunglei,3.3765316562,8009
1977 - 1981,Nagaland,Kohima,2.930458341889002,11190
1977 - 1981,Nagaland,Mokokchung,3.621670063494951,1604
1977 - 1981,Nagaland,Mon,1.947943226735832,692
1977 - 1981,Nagaland,Phek,2.9433854414627083,605
1977 - 1981,Nagaland,Tuensang,2.4103932288380974,1411
1977 - 1981,Nagaland,Wokha,2.799085413763792,1183
1977 - 1981,Nagaland,Zunheboto,2.88298835060931,422
1977 - 1981,Puducherry,Karaikal,3.3891623964,6428
1977 - 1981,Puducherry,Mahe,2.5613436312,1440
1977 - 1981,Puducherry,Puducherry,3.3429719469999997,23276
1977 - 1981,Puducherry,Yanam,3.0436540736,1095
1977 - 1981,Uttar Pradesh,Agra,2.323581025572495,69494
1977 - 1981,Uttar Pradesh,Aligarh,2.5341676406533016,88748
1977 - 1981,Uttar Pradesh,Allahabad,2.430211790097912,138337
1977 - 1981,Uttar Pradesh,Badaun,2.528931193090496,76000
1977 - 1981,Uttar Pradesh,Banda,2.574340945614241,53253
1977 - 1981,Uttar Pradesh,Barabanki,2.3539891118752982,46972
1977 - 1981,Uttar Pradesh,Bareilly,2.4517778569278157,74967
1977 - 1981,Uttar Pradesh,Bijnor,2.3095337337701043,72158
1977 - 1981,Uttar Pradesh,Bulandshahr,2.3969707841959877,50621
1977 - 1981,Uttar Pradesh,Etah,2.475004491018413,75966
1977 - 1981,Uttar Pradesh,Etawah,2.6532335704116514,42313
1977 - 1981,Uttar Pradesh,Faizabad,2.5869467784453644,75297
1977 - 1981,Uttar Pradesh,Farrukhabad,2.655557448763662,61647
1977 - 1981,Uttar Pradesh,Fatehpur,2.4244312114310445,63965
1977 - 1981,Uttar Pradesh,Firozabad,2.4380597774224606,49400
1977 - 1981,Uttar Pradesh,Ghaziabad,2.483424637357332,53924
1977 - 1981,Uttar Pradesh,Hamirpur,2.4631769369876366,37253
1977 - 1981,Uttar Pradesh,Hardoi,2.36408376515387,96032
1977 - 1981,Uttar Pradesh,Jalaun,2.3409689115675296,33458
1977 - 1981,Uttar Pradesh,Jhansi,2.510909881435826,51311
1977 - 1981,Uttar Pradesh,Kanpur Rural,2.2888526093416943,49523
1977 - 1981,Uttar Pradesh,Kanpur Urban,2.3054336411823595,64062
1977 - 1981,Uttar Pradesh,Kheri,2.4531785078893744,52890
1977 - 1981,Uttar Pradesh,Lalitpur,2.6535327139550944,20488
1977 - 1981,Uttar Pradesh,Lucknow,2.5803007356610768,95393
1977 - 1981,Uttar Pradesh,Mainpuri,2.329936066251584,43795
1977 - 1981,Uttar Pradesh,Mathura,2.438718964769914,66450
1977 - 1981,Uttar Pradesh,Mau,2.5110227156105496,38042
1977 - 1981,Uttar Pradesh,Meerut,2.488121538389443,77837
1977 - 1981,Uttar Pradesh,Moradabad,2.3126907208294885,67369
1977 - 1981,Uttar Pradesh,Muzaffarnagar,2.569909328790684,97105
1977 - 1981,Uttar Pradesh,Pilibhit,2.3886044580624133,43130
1977 - 1981,Uttar Pradesh,Pratapgarh,2.5563732007561346,74803
1977 - 1981,Uttar Pradesh,Rae Bareli,2.4565784900073617,75238
1977 - 1981,Uttar Pradesh,Rampur,2.4318467455595116,34475
1977 - 1981,Uttar Pradesh,Saharanpur,2.561120340261792,63362
1977 - 1981,Uttar Pradesh,Shahjahanpur,2.48687477199198,48292
1977 - 1981,Uttar Pradesh,Sitapur,2.5564134373351726,75180
