Year,State,District,People,Avg. Syllabic Count
1994,Madhya Pradesh,Shahdol,19141,2.9982237082702055
1994,Madhya Pradesh,Shajapur,7724,2.993785603314345
1994,Madhya Pradesh,Sheopur,13813,3.0448128574531235
1994,Madhya Pradesh,Shivpuri,34889,3.0296941729484934
1994,Madhya Pradesh,Sidhi,26995,2.9984071124282274
1994,Madhya Pradesh,Tikamgarh,27847,3.1579703379179085
1994,Madhya Pradesh,Ujjain,23794,2.9715894763385733
1994,Madhya Pradesh,Umaria,12195,2.9814678146781466
1994,Madhya Pradesh,Vidisha,22979,3.00052221593629
1994,Manipur,Bishnupur,4419,2.463905861054537
1994,Manipur,Chandel,913,1.9123767798466595
1994,Manipur,Churachandpur,4686,2.569995731967563
1994,Manipur,Imphal East,7875,2.4184126984126983
1994,Manipur,Imphal West,9012,2.496338215712384
1994,Manipur,Senapati,4453,2.045587244554233
1994,Manipur,Tamenglong,1750,2.9177142857142857
1994,Manipur,Thoubal,8341,2.2812612396595133
1994,Manipur,Ukhrul,2239,1.877177311299688
1994,Meghalaya,East Garo Hills,2377,2.393773664282709
1994,Meghalaya,East Jaintia Hills,3029,2.3674480026411358
1994,Meghalaya,East Khasi Hills,14859,2.763375731879669
1994,Meghalaya,Ri Bhoi,5248,2.6282393292682933
1994,Meghalaya,South Garo Hills,3901,2.3911817482696742
1994,Meghalaya,West Garo Hills,8021,2.4398454058097494
1994,Meghalaya,West Khasi Hills,6407,2.872014983611675
1994,Mizoram,Aizawl,12417,3.031489087541274
1994,Mizoram,Champhai,2406,3.7539484621778887
1994,Mizoram,Kolasib,2859,3.2381951731374605
1994,Mizoram,Lawngtlai,5014,2.7475069804547267
1994,Mizoram,Lunglei,4978,2.8252310164724785
1994,Mizoram,Mamit,2078,3.3171318575553417
1994,Mizoram,Saiha,1412,1.9936260623229465
1994,Mizoram,Serchhip,2131,3.352416705771938
1994,Uttar Pradesh,Agra,91859,2.833026703970216
1994,Uttar Pradesh,Aligarh,83125,2.8699428571428567
1994,Uttar Pradesh,Allahabad,146768,2.7893750681347442
1994,Uttar Pradesh,Auraiyya,32757,2.7871599963366607
1994,Uttar Pradesh,Bagpat,24772,2.8156789924107866
1994,Uttar Pradesh,Barabanki,62254,2.791676036881164
1994,Uttar Pradesh,Bareilly,100869,2.8968166631968195
1994,Uttar Pradesh,Bijnor,98522,2.826323054749193
1994,Uttar Pradesh,Bulandshahr,76596,2.8686093268577992
1994,Uttar Pradesh,Chitrakoot,19532,3.0664038500921564
1994,Uttar Pradesh,Etah,38704,2.8301209177346007
1994,Uttar Pradesh,Faizabad,1820,3.021428571428572
1994,Uttar Pradesh,Farrukhabad,48058,2.9223230263431685
1994,Uttar Pradesh,Fatehpur,64731,2.9387001591200512
1994,Uttar Pradesh,Firozabad,48239,2.8208088890731564
1994,Uttar Pradesh,Gautam Buddh Nagar,33604,2.833680514224497
1994,Uttar Pradesh,Ghaziabad,53118,2.8145261493279112
1994,Uttar Pradesh,Hamirpur,28298,2.935119089688317
1994,Uttar Pradesh,Hardoi,110392,2.8928273787955647
1994,Uttar Pradesh,Jalaun,30473,2.8572178649952416
1994,Uttar Pradesh,Jhansi,34991,2.9344974421994228
1994,Uttar Pradesh,Kannauj,31428,2.8882843324424083
1994,Uttar Pradesh,Kanpur Rural,37205,2.82838328181696
1994,Uttar Pradesh,Kanpur Urban,72013,2.7770819157652094
1994,Uttar Pradesh,Kaushambi,47093,2.8924468604675853
1994,Uttar Pradesh,Kheri,122470,2.9354045888789093
1994,Uttar Pradesh,Lalitpur,23092,3.087822622553265
1994,Uttar Pradesh,Lucknow,86904,2.754717849581146
1994,Uttar Pradesh,Mahoba,15875,3.055307086614173
1994,Uttar Pradesh,Mainpuri,41973,2.8518809711004693
1994,Uttar Pradesh,Mathura,50971,2.883208098722803
1994,Uttar Pradesh,Mau,59,2.8135593220338984
1994,Uttar Pradesh,Meerut,63509,2.811302335102112
1994,Uttar Pradesh,Moradabad,90482,2.8277336928891934
1994,Uttar Pradesh,Muzaffarnagar,59690,2.8221645166694587
1994,Uttar Pradesh,Pilibhit,59045,2.923024811584385
1994,Uttar Pradesh,Pratapgarh,77384,2.816279851132017
1994,Uttar Pradesh,Rae Bareli,35811,2.845941191254084
1994,Uttar Pradesh,Rampur,83846,2.9703504043126685
1994,Uttar Pradesh,Saharanpur,89801,2.9018607810603445
1994,Uttar Pradesh,Shahjahanpur,76926,3.0456152666198686
1994,Uttar Pradesh,Sitapur,86742,2.935532959811856
1994,Uttar Pradesh,Sultanpur,50610,2.8595139300533488
1994,Uttar Pradesh,Unnao,66996,2.8506477998686486
1994,Uttarakhand,Bageshwar,4339,2.732196358607974
1994,Uttarakhand,Chamoli,368,2.760869565217391
1994,Uttarakhand,Dehradun,33927,2.834998673622778
1994,Uttarakhand,Nainital,7495,2.781454302868579
1994,Uttarakhand,Pauri Garhwal,13168,2.8027794653705955
1994,Uttarakhand,Udham Singh Nagar,1290,2.9356589147286822
1994,Uttarakhand,Uttarkashi,4887,2.95170861469204
1995,Andhra Pradesh,Anantapur,64023,2.6012526748199867
1995,Andhra Pradesh,Chittoor,54804,2.131997664404058
1995,Andhra Pradesh,East Godavari,69846,2.7798585459439344
1995,Andhra Pradesh,Guntur,70437,2.7552848644888344
1995,Andhra Pradesh,Kadapa,40332,2.8011504512545877
1995,Andhra Pradesh,Krishna,58272,2.6744233937397035
1995,Andhra Pradesh,Kurnool,66301,2.342905838524306
1995,Andhra Pradesh,Nellore,38386,2.8139946855624447
1995,Andhra Pradesh,Prakasam,49966,2.9279510066845456
1995,Andhra Pradesh,Srikakulam,43020,2.9700836820083683
1995,Andhra Pradesh,Visakhapatnam,69452,2.7878822784081088
1995,Andhra Pradesh,Vizianagaram,33196,2.9365586215206654
1995,Andhra Pradesh,West Godavari,59441,2.717972443263068
1995,Haryana,Ambala,9102,3.0607558778290485
1995,Haryana,Bhiwani,21002,2.8388724883344443
1995,Haryana,Faridabad,24118,2.863587362136164
1995,Haryana,Fatehabad,14428,3.063418353202107
1995,Haryana,Gurgaon,15495,2.8311713455953536
1995,Haryana,Hisar,16640,2.850420673076924
1995,Haryana,Jhajjar,11575,2.8234125269978403
1995,Haryana,Jind,16078,2.862980470207737
1995,Haryana,Kaithal,13910,2.9700215672178287
1995,Haryana,Karnal,18703,2.8826391487996577
1995,Haryana,Kurukshetra,12831,3.023069129452108
1995,Haryana,Mahendragarh,12913,2.8692015798032986
1995,Haryana,Panchkula,5183,2.9808990931892727
1995,Haryana,Panipat,15610,2.801537475976938
1995,Haryana,Rewari,11287,2.821121644369629
1995,Haryana,Rohtak,12093,2.806003473083602
1995,Haryana,Sirsa,18974,3.1607462843891643
1995,Haryana,Sonipat,16161,2.7919683187921542
1995,Haryana,Yamunanagar,8500,3.0168235294117647
1995,Himachal Pradesh,Bilaspur,4383,2.753593429158111
1995,Himachal Pradesh,Chamba,6155,2.6554021121039804
1995,Himachal Pradesh,Hamirpur,23894,2.9194776931447226
1995,Himachal Pradesh,Kangra,15741,2.80452321961756
1995,Himachal Pradesh,Kinnaur,830,2.8228915662650604
1995,Himachal Pradesh,Kullu,5777,2.6506837458888697
1995,Himachal Pradesh,Mandi,9355,2.6763228220203104
1995,Himachal Pradesh,Shimla,7171,2.7733928322409707
1995,Himachal Pradesh,Sirmaur,4563,2.8356344510190663
1995,Himachal Pradesh,Solan,4426,2.871441482150926
1995,Himachal Pradesh,Una,4669,2.887556221889056
1995,Madhya Pradesh,Balaghat,28677,3.1489695574850924
1995,Madhya Pradesh,Barwani,27998,2.92503035931138
1995,Madhya Pradesh,Betul,29892,2.9912685668406263
1995,Madhya Pradesh,Bhind,21270,2.9856605547719792
1995,Madhya Pradesh,Bhopal,31826,2.814365613020801
1995,Madhya Pradesh,Chhatarpur,30839,3.1597328058627063
1995,Madhya Pradesh,Chhindwara,34771,3.1086250035949496
1995,Madhya Pradesh,Damoh,20517,2.94955402836672
1995,Madhya Pradesh,Datia,12243,2.9831740586457567
1995,Madhya Pradesh,Dewas,28177,2.8847286794193847
1995,Madhya Pradesh,Dhar,42293,2.9330149197266686
1995,Madhya Pradesh,Dindori,6251,3.093425051991681
1995,Madhya Pradesh,Guna,23228,2.888970208369209
1995,Madhya Pradesh,Gwalior,29440,2.8740149456521737
1995,Madhya Pradesh,Harda,10323,2.961832800542478
1995,Madhya Pradesh,Hoshangabad,16187,2.9335269043059244
1995,Madhya Pradesh,Indore,48908,2.8245685777377934
1995,Madhya Pradesh,Jabalpur,23842,2.8383944299974835
1995,Madhya Pradesh,Jhabua,33447,2.7482285406762936
1995,Madhya Pradesh,Katni,23347,2.8617381248126104
1995,Madhya Pradesh,Khandwa,25941,2.9448363594310165
1995,Madhya Pradesh,Khargone,33928,2.947034897429852
1995,Madhya Pradesh,Mandla,15316,2.9578871768085664
1995,Madhya Pradesh,Mandsaur,19526,3.0810201782239064
1995,Madhya Pradesh,Morena,26518,2.998152198506675
1995,Madhya Pradesh,Narsinghpur,14360,2.9795961002785516
1995,Madhya Pradesh,Neemuch,10594,3.2092693977723235
1995,Madhya Pradesh,Panna,21394,3.003692624100214
1995,Madhya Pradesh,Raisen,22554,3.0232331293783807
1995,Madhya Pradesh,Rajgarh,29060,3.093289745354439
1995,Madhya Pradesh,Ratlam,27719,2.9398968216746635
1995,Madhya Pradesh,Rewa,35479,2.970038614391612
1995,Madhya Pradesh,Sagar,46236,2.9831084003806563
1995,Madhya Pradesh,Satna,27732,2.9083729987018607
1995,Madhya Pradesh,Sehore,23301,2.860907257199262
1995,Madhya Pradesh,Seoni,16439,3.12141857777237
1995,Madhya Pradesh,Shahdol,19401,3.0079377351682903
1995,Madhya Pradesh,Shajapur,8636,2.9834414080592877
1995,Madhya Pradesh,Sheopur,16346,3.052367551694604
1995,Madhya Pradesh,Shivpuri,40480,3.021121541501976
1995,Madhya Pradesh,Sidhi,29901,3.0012374168088023
1995,Madhya Pradesh,Tikamgarh,31952,3.1259076114171256
1995,Madhya Pradesh,Ujjain,24970,2.9596716059271126
1995,Madhya Pradesh,Umaria,12794,2.976238861966547
1995,Madhya Pradesh,Vidisha,26806,3.035999403118705
1995,Manipur,Bishnupur,3881,2.4439577428497805
1995,Manipur,Chandel,1149,1.8624891209747607
1995,Manipur,Churachandpur,4317,2.5471392170488767
1995,Manipur,Imphal East,7067,2.409367482665912
1995,Manipur,Imphal West,7520,2.5105053191489364
1995,Manipur,Senapati,4311,2.028995592669914
1995,Manipur,Tamenglong,1941,2.942297784647089
1995,Manipur,Thoubal,7886,2.2883591174232816
1995,Manipur,Ukhrul,2789,1.9404804589458584
1995,Meghalaya,East Garo Hills,2662,2.39519158527423
1995,Meghalaya,East Jaintia Hills,3279,2.408356206160415
1995,Meghalaya,East Khasi Hills,18101,2.790398320534777
1995,Meghalaya,Ri Bhoi,6237,2.623697290363957
1995,Meghalaya,South Garo Hills,3257,2.382560638624501
1995,Meghalaya,West Garo Hills,9174,2.4311096577283617
1995,Meghalaya,West Khasi Hills,6881,2.8962360122075284
1995,Mizoram,Aizawl,9380,2.993816631130064
1995,Mizoram,Champhai,2544,3.756682389937107
1995,Mizoram,Kolasib,2640,3.223863636363636
1995,Mizoram,Lawngtlai,4522,2.7240159221583364
1995,Mizoram,Lunglei,6486,3.0884983040394696
1995,Mizoram,Mamit,2092,3.2777246653919696
1995,Mizoram,Saiha,1374,1.9861717612809315
1995,Mizoram,Serchhip,3183,3.4351240967640586
1995,Uttar Pradesh,Agra,75610,2.835180531675704
1995,Uttar Pradesh,Aligarh,70549,2.8476945101985853
1995,Uttar Pradesh,Allahabad,94706,2.803666082402382
1995,Uttar Pradesh,Auraiyya,20790,2.794901394901395
1995,Uttar Pradesh,Bagpat,21287,2.8349696998167886
1995,Uttar Pradesh,Barabanki,36069,2.7548310183259863
1995,Uttar Pradesh,Bareilly,90232,2.863762301622484
1995,Uttar Pradesh,Bijnor,77780,2.8043841604525586
1995,Uttar Pradesh,Bulandshahr,66130,2.8428852260698623
1995,Uttar Pradesh,Chitrakoot,23794,3.07375809027486
1995,Uttar Pradesh,Etah,31054,2.8085270818574095
1995,Uttar Pradesh,Faizabad,1544,2.911917098445596
1995,Uttar Pradesh,Farrukhabad,32774,2.8685848538475622
1995,Uttar Pradesh,Fatehpur,43838,2.893562662530225
1995,Uttar Pradesh,Firozabad,34203,2.8025319416425463
1995,Uttar Pradesh,Gautam Buddh Nagar,27849,2.8281446371503467
1995,Uttar Pradesh,Ghaziabad,45407,2.820798555288832
1995,Uttar Pradesh,Hamirpur,23894,2.9194776931447226
1995,Uttar Pradesh,Hardoi,62493,2.8848991087001745
1995,Uttar Pradesh,Jalaun,26533,2.875513511476275
1995,Uttar Pradesh,Jhansi,31005,2.9220448314787943
1995,Uttar Pradesh,Kannauj,28522,2.838054834864314
1995,Uttar Pradesh,Kanpur Rural,30663,2.777712552587809
1995,Uttar Pradesh,Kanpur Urban,60758,2.759340333783205
1995,Uttar Pradesh,Kaushambi,25841,2.8243876010990285
1995,Uttar Pradesh,Kheri,65894,2.893252799951437
1995,Uttar Pradesh,Lalitpur,22826,3.0813984053272585
1995,Uttar Pradesh,Lucknow,68096,2.740748355263158
1995,Uttar Pradesh,Mahoba,16043,3.0018699744436828
1995,Uttar Pradesh,Mainpuri,37245,2.8260974627466773
1995,Uttar Pradesh,Mathura,40667,2.8469028942385717
1995,Uttar Pradesh,Mau,27,2.7037037037037037
1995,Uttar Pradesh,Meerut,52823,2.8050849061961647
